Effective Date,Rate Type,Rate (%),1st Percentile (%),25th Percentile (%),75th Percentile (%),99th Percentile (%),Volume ($Billions),Target Rate From (%),Target Rate To (%),Intra Day - Low (%),Intra Day - High (%),Standard Deviation (%),30-Day Average SOFR,90-Day Average SOFR,180-Day Average SOFR,SOFR Index,Revision Indicator (Y/N),Footnote ID
12/29/2023,EFFR,5.33,5.31,5.32,5.35,5.55,59,5.25,5.5,,,,,,,,,
12/28/2023,EFFR,5.33,5.3,5.32,5.34,5.5,81,5.25,5.5,,,,,,,,,
12/27/2023,EFFR,5.33,5.3,5.32,5.33,5.5,88,5.25,5.5,,,,,,,,,
12/26/2023,EFFR,5.33,5.3,5.32,5.33,5.5,96,5.25,5.5,,,,,,,,,
12/22/2023,EFFR,5.33,5.3,5.32,5.33,5.4,90,5.25,5.5,,,,,,,,,
12/21/2023,EFFR,5.33,5.3,5.32,5.33,5.45,101,5.25,5.5,,,,,,,,,
12/20/2023,EFFR,5.33,5.3,5.32,5.33,5.4,97,5.25,5.5,,,,,,,,,
12/19/2023,EFFR,5.33,5.3,5.32,5.33,5.4,96,5.25,5.5,,,,,,,,,
12/18/2023,EFFR,5.33,5.3,5.32,5.33,5.45,95,5.25,5.5,,,,,,,,,
12/15/2023,EFFR,5.33,5.3,5.32,5.33,5.4,101,5.25,5.5,,,,,,,,,
12/14/2023,EFFR,5.33,5.3,5.31,5.33,5.35,108,5.25,5.5,,,,,,,,,
12/13/2023,EFFR,5.33,5.3,5.31,5.33,5.45,106,5.25,5.5,,,,,,,,,
12/12/2023,EFFR,5.33,5.3,5.31,5.33,5.44,106,5.25,5.5,,,,,,,,,
12/11/2023,EFFR,5.33,5.3,5.32,5.33,5.45,102,5.25,5.5,,,,,,,,,
12/08/2023,EFFR,5.33,5.3,5.32,5.33,5.45,101,5.25,5.5,,,,,,,,,
12/07/2023,EFFR,5.33,5.3,5.31,5.34,5.45,102,5.25,5.5,,,,,,,,,
12/06/2023,EFFR,5.33,5.3,5.32,5.33,5.45,103,5.25,5.5,,,,,,,,,
12/05/2023,EFFR,5.33,5.3,5.32,5.33,5.45,103,5.25,5.5,,,,,,,,,
12/04/2023,EFFR,5.33,5.3,5.32,5.33,5.45,103,5.25,5.5,,,,,,,,,
12/01/2023,EFFR,5.33,5.3,5.32,5.33,5.44,107,5.25,5.5,,,,,,,,,
11/30/2023,EFFR,5.33,5.3,5.32,5.34,5.5,91,5.25,5.5,,,,,,,,,
11/29/2023,EFFR,5.33,5.3,5.32,5.33,5.5,96,5.25,5.5,,,,,,,,,
11/28/2023,EFFR,5.33,5.3,5.32,5.33,5.5,97,5.25,5.5,,,,,,,,,
11/27/2023,EFFR,5.33,5.3,5.32,5.33,5.5,97,5.25,5.5,,,,,,,,,
11/24/2023,EFFR,5.33,5.3,5.32,5.33,5.5,101,5.25,5.5,,,,,,,,,
11/22/2023,EFFR,5.33,5.3,5.32,5.33,5.5,102,5.25,5.5,,,,,,,,,
11/21/2023,EFFR,5.33,5.3,5.32,5.33,5.5,102,5.25,5.5,,,,,,,,,
11/20/2023,EFFR,5.33,5.3,5.32,5.33,5.5,101,5.25,5.5,,,,,,,,,
11/17/2023,EFFR,5.33,5.3,5.32,5.33,5.5,98,5.25,5.5,,,,,,,,,
11/16/2023,EFFR,5.33,5.3,5.32,5.33,5.5,99,5.25,5.5,,,,,,,,,
11/15/2023,EFFR,5.33,5.3,5.32,5.33,5.5,96,5.25,5.5,,,,,,,,,
11/14/2023,EFFR,5.33,5.3,5.32,5.33,5.5,102,5.25,5.5,,,,,,,,,
11/13/2023,EFFR,5.33,5.3,5.32,5.33,5.5,102,5.25,5.5,,,,,,,,,
11/10/2023,EFFR,5.33,5.3,5.32,5.33,5.5,106,5.25,5.5,,,,,,,,,
11/09/2023,EFFR,5.33,5.3,5.32,5.33,5.5,105,5.25,5.5,,,,,,,,,
11/08/2023,EFFR,5.33,5.3,5.32,5.33,5.5,101,5.25,5.5,,,,,,,,,
11/07/2023,EFFR,5.33,5.3,5.32,5.33,5.53,104,5.25,5.5,,,,,,,,,
11/06/2023,EFFR,5.33,5.3,5.32,5.33,5.5,101,5.25,5.5,,,,,,,,,
11/03/2023,EFFR,5.33,5.3,5.32,5.33,5.5,102,5.25,5.5,,,,,,,,,
11/02/2023,EFFR,5.33,5.3,5.32,5.33,5.55,99,5.25,5.5,,,,,,,,,
11/01/2023,EFFR,5.33,5.3,5.32,5.34,5.53,92,5.25,5.5,,,,,,,,,
10/31/2023,EFFR,5.33,5.3,5.32,5.34,5.55,86,5.25,5.5,,,,,,,,,
10/30/2023,EFFR,5.33,5.3,5.32,5.33,5.5,97,5.25,5.5,,,,,,,,,
10/27/2023,EFFR,5.33,5.3,5.32,5.34,5.55,94,5.25,5.5,,,,,,,,,
10/26/2023,EFFR,5.33,5.3,5.32,5.34,5.5,100,5.25,5.5,,,,,,,,,
10/25/2023,EFFR,5.33,5.3,5.32,5.34,5.55,93,5.25,5.5,,,,,,,,,
10/24/2023,EFFR,5.33,5.3,5.32,5.34,5.55,83,5.25,5.5,,,,,,,,,
10/23/2023,EFFR,5.33,5.3,5.32,5.34,5.55,88,5.25,5.5,,,,,,,,,
10/20/2023,EFFR,5.33,5.3,5.32,5.34,5.55,87,5.25,5.5,,,,,,,,,
10/19/2023,EFFR,5.33,5.3,5.32,5.34,5.55,90,5.25,5.5,,,,,,,,,
10/18/2023,EFFR,5.33,5.3,5.32,5.34,5.55,89,5.25,5.5,,,,,,,,,
10/17/2023,EFFR,5.33,5.3,5.32,5.34,5.55,93,5.25,5.5,,,,,,,,,
10/16/2023,EFFR,5.33,5.3,5.32,5.34,5.55,96,5.25,5.5,,,,,,,,,
10/13/2023,EFFR,5.33,5.3,5.32,5.33,5.5,99,5.25,5.5,,,,,,,,,
10/12/2023,EFFR,5.33,5.3,5.32,5.33,5.53,103,5.25,5.5,,,,,,,,,
10/11/2023,EFFR,5.33,5.3,5.32,5.34,5.55,94,5.25,5.5,,,,,,,,,
10/10/2023,EFFR,5.33,5.3,5.32,5.34,5.55,95,5.25,5.5,,,,,,,,,
,,,,,,,,,,,,,,,,,,
10/06/2023,EFFR,5.33,5.3,5.32,5.33,5.53,100,5.25,5.5,,,,,,,,,
10/05/2023,EFFR,5.33,5.3,5.32,5.34,5.55,102,5.25,5.5,,,,,,,,,
10/04/2023,EFFR,5.33,5.3,5.32,5.34,5.53,103,5.25,5.5,,,,,,,,,
10/03/2023,EFFR,5.33,5.3,5.32,5.34,5.55,94,5.25,5.5,,,,,,,,,
10/02/2023,EFFR,5.33,5.3,5.32,5.34,5.55,89,5.25,5.5,,,,,,,,,
09/29/2023,EFFR,5.33,5.3,5.32,5.34,5.55,86,5.25,5.5,,,,,,,,,
09/28/2023,EFFR,5.33,5.3,5.32,5.34,5.44,104,5.25,5.5,,,,,,,,,
09/27/2023,EFFR,5.33,5.3,5.32,5.34,5.55,99,5.25,5.5,,,,,,,,,
