observation_date,T10Y2Y
2023-01-03,-0.61
2023-01-04,-0.67
2023-01-05,-0.74
2023-01-06,-0.69
2023-01-09,-0.66
2023-01-10,-0.63
2023-01-11,-0.66
2023-01-12,-0.69
2023-01-13,-0.73
2023-01-16,
2023-01-17,-0.65
2023-01-18,-0.69
2023-01-19,-0.70
2023-01-20,-0.66
2023-01-23,-0.69
2023-01-24,-0.66
2023-01-25,-0.65
2023-01-26,-0.68
2023-01-27,-0.67
2023-01-30,-0.70
2023-01-31,-0.69
2023-02-01,-0.70
2023-02-02,-0.69
2023-02-03,-0.77
2023-02-06,-0.81
2023-02-07,-0.80
2023-02-08,-0.82
2023-02-09,-0.81
2023-02-10,-0.76
2023-02-13,-0.80
2023-02-14,-0.83
2023-02-15,-0.81
2023-02-16,-0.76
2023-02-17,-0.78
2023-02-20,
2023-02-21,-0.72
2023-02-22,-0.73
2023-02-23,-0.78
2023-02-24,-0.83
2023-02-27,-0.86
2023-02-28,-0.89
2023-03-01,-0.88
2023-03-02,-0.81
2023-03-03,-0.89
2023-03-06,-0.91
2023-03-07,-1.03
2023-03-08,-1.07
2023-03-09,-0.97
2023-03-10,-0.90
2023-03-13,-0.48
2023-03-14,-0.56
2023-03-15,-0.42
2023-03-16,-0.58
2023-03-17,-0.42
2023-03-20,-0.45
2023-03-21,-0.58
2023-03-22,-0.48
2023-03-23,-0.38
2023-03-24,-0.38
2023-03-27,-0.41
2023-03-28,-0.47
2023-03-29,-0.51
2023-03-30,-0.55
2023-03-31,-0.58
2023-04-03,-0.54
2023-04-04,-0.49
2023-04-05,-0.49
2023-04-06,-0.52
2023-04-07,-0.58
2023-04-10,-0.59
2023-04-11,-0.60
2023-04-12,-0.54
2023-04-13,-0.51
2023-04-14,-0.56
2023-04-17,-0.58
2023-04-18,-0.61
2023-04-19,-0.64
2023-04-20,-0.60
2023-04-21,-0.60
2023-04-24,-0.60
2023-04-25,-0.46
2023-04-26,-0.47
2023-04-27,-0.54
2023-04-28,-0.60
2023-05-01,-0.55
2023-05-02,-0.53
2023-05-03,-0.51
2023-05-04,-0.38
2023-05-05,-0.48
2023-05-08,-0.48
2023-05-09,-0.48
2023-05-10,-0.47
2023-05-11,-0.50
2023-05-12,-0.52
2023-05-15,-0.49
2023-05-16,-0.52
2023-05-17,-0.55
2023-05-18,-0.59
2023-05-19,-0.58
2023-05-22,-0.57
2023-05-23,-0.56
2023-05-24,-0.58
2023-05-25,-0.67
2023-05-26,-0.74
2023-05-29,
2023-05-30,-0.77
2023-05-31,-0.76
2023-06-01,-0.72
2023-06-02,-0.81
2023-06-05,-0.77
2023-06-06,-0.81
2023-06-07,-0.77
2023-06-08,-0.79
2023-06-09,-0.84
2023-06-12,-0.82
2023-06-13,-0.83
2023-06-14,-0.91
2023-06-15,-0.90
2023-06-16,-0.93
2023-06-19,
2023-06-20,-0.94
